Date,Flight Hours,System,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type
16/11/15,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/08,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/19,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/01,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/04,1.20 ,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/24,1.03 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/26,2.15 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/27,2.01 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/28,1.13 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/03,1.29 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/10,0.88 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/11,1.75 ,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/19,2.00 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/23,1.28 ,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/24,1.95 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/26,1.23 ,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/30,1.73 ,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/02,1.44 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/05,1.17 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/06,2.03 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/08,1.59 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/09,1.91 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/14,2.35 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/16,1.12 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/19,2.35 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/05,0.82 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/06,1.10 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/07,1.22 ,1,4,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/19,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/20,2.26 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/23,2.22 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/24,2.58 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/25,1.13 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/26,0.87 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/01,3.26 ,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/06,0.98 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/08,2.08 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/09,0.52 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/15,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/17,0.02 ,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/01,0.02 ,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/07,1.10 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/08,1.13 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/18,1.95 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/25,1.98 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/18,1.37 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/20,0.98 ,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/03,0.02 ,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/06,2.58 ,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/08,2.20 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/08,0.83 ,2,14,6,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/14,1.10 ,1,14,6,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/16,1.85 ,1,1,1,,5,2,,9,1,,14,2,,19,2,,24,2,,,,,,,,,,,,,,,,,,,,,
20/01/19,0.24 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/21,1.05 ,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/03,2.41 ,1,15,1,,15,2,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/03,2.18 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/07,1.05 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/07,0.97 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/08,1.17 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/11,1.12 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/14,3.78 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/14,0.84 ,2,7,1,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/18,1.03 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/19,1.55 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/20,2.29 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/21,1.81 ,1,15,1,,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/27,0.72 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/27,2.16 ,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/28,0.93 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/28,0.88 ,2,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/29,0.80 ,1,9,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/04,1.03 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/05,2.22 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/05,2.49 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/11,1.26 ,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/11,1.90 ,2,14,2,,22,2,,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/13,3.33 ,1,3,2,,6,2,,15,2,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/25,1.35 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/26,1.16 ,1,10,2,,10,2,,10,6,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/31,1.67 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/01,1.13 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/02,1.83 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/07,2.27 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/08,0.92 ,2,14,1,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/09,0.70 ,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/13,1.15 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/14,1.87 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/15,1.22 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/16,2.20 ,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/20,0.82 ,1,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/21,2.08 ,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/22,1.25 ,1,2,1,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/24,1.05 ,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/27,2.29 ,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/28,1.05 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/30,0.27 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/05,1.03 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/06,1.27 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/07,2.53 ,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/08,2.30 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/11,3.29 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/22,0.90 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/26,1.13 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/28,2.20 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/29,2.55 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/02,2.55 ,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/03,1.87 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/04,1.07 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/05,1.83 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/08,0.73 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/11,2.12 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/12,0.98 ,1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/16,3.22 ,1,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/17,2.09 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/18,1.35 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/24,0.65 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/25,2.96 ,1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/26,1.00 ,1,10,6,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/02,2.39 ,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/08,1.12 ,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/09,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/14,3.15 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/15,0.77 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/16,1.90 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/17,1.10 ,1,11,1,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/22,1.78 ,2,10,6,,10,6,,10,6,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/23,2.01 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/24,1.03 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/03,0.32 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/04,2.07 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/05,1.94 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/05,1.09 ,1,2,1,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/07,1.87 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/08,1.07 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/11,1.00 ,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/12,2.16 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/14,3.07 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/17,1.87 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/18,1.10 ,2,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/19,2.52 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/20,0.57 ,1,13,6,,18,2,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/21,2.87 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/22,3.28 ,2,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/28,2.03 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/29,1.02 ,2,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/03,0.62 ,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/04,1.43 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/08,1.88 ,1,1,1,,2,1,,2,1,,9,1,,9,1,,9,2,,10,6,,11,1,,13,2,,14,2,,18,1,,20,2,,20,6
20/09/10,1.17 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/11,3.35 ,2,1,1,,3,2,,6,1,,6,2,,9,1,,10,6,,10,6,,14,2,,15,2,,,,,,,,,,,,
21/06/22,2.88 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/28,0.90 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/02,1.19 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/06,1.17 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/07,1.96 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/09,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/13,2.14 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/14,3.30 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/15,0.92 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/20,1.82 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/21,3.28 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/23,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/27,3.42 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/28,4.60 ,2,9,2,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/30,3.17 ,2,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/10,1.89 ,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/12,2.96 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/13,2.97 ,2,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/17,2.09 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/20,2.10 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/23,2.12 ,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/25,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/26,1.42 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/27,2.10 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/31,1.20 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/16,2.84 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/17,2.08 ,2,19,1,,19,1,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/10/12,0.97 ,2,1,2,,1,6,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/01,3.21 ,2,10,6,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/02,0.72 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/03,0.67 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/04,2.07 ,2,7,2,,9,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/12,1.03 ,2,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/15,2.13 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/16,1.12 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/18,2.84 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/19,1.20 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/29,1.32 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/07,1.98 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/12,1.85 ,2,7,6,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/18,0.88 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/26,1.82 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/08,0.92 ,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/15,1.65 ,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/28,2.09 ,2,9,1,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/17,2.72 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/20,0.88 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/02,2.10 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/03,3.56 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/08,1.07 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/09,3.24 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/13,1.20 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
